,Owner,total_capacity,num_countries,avg_iso14001,avg_iso50001,avg_responsible,centroid_lat,centroid_lon,env_score
165,Chengdu Changfeng Steel Group Co Ltd,0.0,1,1.0,1.0,0.0,31.031921,103.672956,0.6666666666666666
166,Chengyu Vanadium & Titanium Technology Co Ltd,1100.0,1,1.0,1.0,0.0,29.732143,104.504339,0.6666666666666666
167,Chifeng Yuanlian Steel Co Ltd,0.0,1,1.0,1.0,0.0,42.278115,119.015289,0.6666666666666666
168,Chifeng Zhongtang Special Steel Co Ltd,0.0,1,1.0,1.0,0.0,41.834064,119.281883,0.6666666666666666
169,China Steel Corp,0.0,1,1.0,1.0,0.0,22.555442,120.349252,0.6666666666666666
170,Chizhou Guichi Guihang Metal Products Co Ltd,0.0,1,1.0,1.0,0.0,30.532786,117.25166,0.6666666666666666
171,Chongli Steel Manufacturing Co Ltd,800.0,1,1.0,1.0,0.0,36.602468,113.755744,0.6666666666666666
172,Chongqing Iron & Steel Co Ltd,0.0,1,1.0,1.0,0.0,29.790253,107.040368,0.6666666666666666
173,Chongqing Yonghang Steel Group Co Ltd,0.0,1,1.0,1.0,0.0,29.836163,106.988138,0.6666666666666666
174,Chongqing Zuhang Steel Co Ltd,0.0,1,1.0,1.0,0.0,29.440056,105.741929,0.6666666666666666
175,Chow Steel Industries PCL,0.0,1,1.0,1.0,0.0,14.074757,101.84215,0.6666666666666666
176,Chubu Steel Plate Co Ltd,0.0,1,1.0,1.0,0.0,35.118836,136.867567,0.6666666666666666
177,Cleveland-Cliffs Inc,7627.0,2,1.0,1.0,0.0,41.211778833333334,-82.50965675,0.6666666666666666
178,Columbus Stainless (Pty) Ltd,0.0,1,1.0,1.0,0.0,-25.796313,29.497972,0.6666666666666666
179,Commercial Metals Co,0.0,1,1.0,1.0,0.0,33.87139514285714,-88.24068757142857,0.6666666666666666
180,Companhia Siderurgica do Cuchi SA,0.0,1,1.0,1.0,0.0,-14.650166,16.925606,0.6666666666666666
181,Companhia Siderúrgica Nacional SA,8610.0,1,1.0,1.0,0.0,-22.512631,-44.11287,0.6666666666666666
182,Compania Espanola de Laminacion SL,0.0,1,1.0,1.0,0.0,41.454855,1.980107,0.6666666666666666
183,Compania Siderurgica Huachipato SA,500.0,1,1.0,1.0,0.0,-36.746421,-73.129171,0.6666666666666666
184,Complejo Siderurgico de Guayana CA,0.0,1,1.0,1.0,0.0,8.297662,-62.780149,0.6666666666666666
185,Corporacion Aceros Arequipa SA,0.0,1,1.0,1.0,0.0,-13.788622,-76.168173,0.6666666666666666
186,Corporacion Venezolana de Guayana,0.0,1,1.0,1.0,0.0,8.290142,-62.805419,0.6666666666666666
187,Corporación AG SA,0.0,1,1.0,1.0,0.0,14.232007,-90.815444,0.6666666666666666
188,Corrugados Getafe SL,0.0,1,1.0,1.0,0.0,40.310803,-3.703568,0.6666666666666666
189,Crest Steel and Power Pvt Ltd,1400.0,1,1.0,1.0,0.0,21.190313,81.19922,0.6666666666666666
190,Cristian Lay SL,0.0,1,1.0,1.0,0.0,43.179125,-2.255939,0.6666666666666666
191,DELONG Steel Ltd,2216.0,1,1.0,1.0,0.0,37.086116,114.384832,0.6666666666666666
192,DRI d'Italia SpA,0.0,1,1.0,1.0,0.0,40.508993,17.207589,0.6666666666666666
193,DST Nghi Son Iron and Steel JSC,0.0,1,1.0,1.0,0.0,19.367379,105.675841,0.6666666666666666
194,Daehan Steel Co Ltd,0.0,1,1.0,1.0,0.0,35.099098,128.860339,0.6666666666666666
195,Daido Steel Co Ltd,0.0,1,1.0,1.0,0.0,35.016404,136.864744,0.6666666666666666
196,Dalmine SpA,0.0,1,1.0,1.0,0.0,45.641516,9.600242,0.6666666666666666
197,Danyang Longjiang Steel Co Ltd,2300.0,1,1.0,1.0,0.0,32.027791,119.57706,0.6666666666666666
198,Dar Al Arkan Real Estate Development Company SJSC,0.0,1,1.0,1.0,0.0,21.524005,39.240633,0.6666666666666666
199,Daric Investment Holding Co,0.0,1,1.0,1.0,0.0,37.987218999999996,46.35052,0.6666666666666666
200,Daye Huaxin Industrial Co Ltd,2320.0,1,1.0,1.0,0.0,30.070219,114.926251,0.6666666666666666
201,Daye SPECIAL Steel Co Ltd,0.0,1,1.0,1.0,0.0,30.204603,115.125838,0.6666666666666666
202,Dazhou Hangda Steel Co Ltd,0.0,1,1.0,1.0,0.0,31.435149,107.685981,0.6666666666666666
203,DeAcero SAPI de CV,0.0,1,1.0,1.0,0.0,23.014859,-100.943702,0.6666666666666666
204,Delta Steel Company Ltd,250.0,1,1.0,1.0,0.0,30.11843,31.281264,0.6666666666666666
205,Deutsche Edelstahlwerke GmbH,0.0,1,1.0,1.0,0.0,50.922844,8.024006,0.6666666666666666
206,Devki Steel Mills Ltd,0.0,1,1.0,1.0,0.0,-3.77734,39.279963,0.6666666666666666
207,Dexin Steel Pte Ltd,0.0,1,1.0,1.0,0.0,-2.829514,122.174896,0.6666666666666666
208,Diler Demir Celik Endustri ve Ticaret AŞ,0.0,1,1.0,1.0,0.0,40.783161,29.533568,0.6666666666666666
209,Dinson Iron & Steel Company Pvt Ltd,0.0,1,1.0,1.0,0.0,-18.940658,30.608968,0.6666666666666666
210,Dnipro Metallurgical Plant PJSC,1040.0,1,1.0,1.0,0.0,48.48079,34.978097,0.6666666666666666
211,Donalam SRL,0.0,1,1.0,1.0,0.0,44.904569,25.458124,0.6666666666666666
212,Donelektrostal LLC,0.0,1,1.0,1.0,0.0,47.740352,40.18942,0.6666666666666666
213,Dongbei Special Steel Group Dalian Special Steel Co Ltd,0.0,1,1.0,1.0,0.0,39.193697,122.057788,0.6666666666666666
214,Dongkuk Steel Mill Co Ltd,0.0,1,1.0,1.0,0.0,36.7439675,128.01810799999998,0.6666666666666666
215,Dragon Steel Corp,8318.0,1,1.0,1.0,0.0,24.226897,120.493911,0.6666666666666666
216,Duferco Travi e Profilati SpA,0.0,1,1.0,1.0,0.0,45.478363,10.209234,0.6666666666666666
217,E-Top Metal Co Ltd,0.0,1,1.0,1.0,0.0,24.167872,120.505482,0.6666666666666666
218,ESF Elbe-Stahlwerke Feralpi GmbH,0.0,1,1.0,1.0,0.0,51.3128,13.280386,0.6666666666666666
219,ESL Steel Ltd,3400.0,1,1.0,1.0,0.0,23.632907,86.293671,0.6666666666666666
220,ETRHB Industrie SpA,0.0,1,1.0,1.0,0.0,36.834412,7.45494,0.6666666666666666
221,Eastern Steel Sdn Bhd,800.0,1,0.0,0.0,0.0,4.285062,103.432551,0.0
222,Ecolant LLC,0.0,1,1.0,1.0,0.0,55.323946,42.150702,0.6666666666666666
223,Eden Flame Sdn Bhd,0.0,1,1.0,1.0,0.0,1.451512,103.917306,0.6666666666666666
224,Ege Celik Endustrisi Sanayi ve Ticaret AŞ,0.0,1,1.0,1.0,0.0,38.728005,26.940095,0.6666666666666666
225,Egyptian American Steel Rolling Company SAE,0.0,1,1.0,1.0,0.0,30.389174,30.571894,0.6666666666666666
226,Egyptian Iron & Steel Co,3000.0,1,1.0,1.0,0.0,29.774458,31.312013,0.6666666666666666
227,Egyptian Sponge Iron & Steel Company SAE,0.0,1,1.0,1.0,0.0,30.393079,30.58773,0.6666666666666666
228,Egyptian Steel Group,0.0,1,1.0,1.0,0.0,29.40006,31.764005,0.6666666666666666
229,Ekinciler Demir ve Celik Sanayi AŞ,0.0,1,1.0,1.0,0.0,36.690115,36.205739,0.6666666666666666
230,Ekos Steel Mill PLC,0.0,1,1.0,1.0,0.0,8.781155,38.932065,0.6666666666666666
231,Electrasteel Inc,0.0,1,1.0,1.0,0.0,40.06301,-105.221982,0.6666666666666666
232,Electrosteel Castings Ltd,780.0,1,1.0,1.0,0.0,13.717188,79.630588,0.6666666666666666
233,Empresa Siderurgica del Peru SAA,0.0,1,1.0,1.0,0.0,-9.059693,-78.601178,0.6666666666666666
234,Empresa Siderúrgica del Mutún,400.0,1,1.0,1.0,0.0,-19.137325,-57.880605,0.6666666666666666
235,Emsteel Building Materials PJSC,0.0,1,1.0,1.0,1.0,24.322033,54.467987,1.0
236,Eregli Demir ve Celik Fabrikalari AŞ,0.0,1,1.0,1.0,0.0,41.261469,31.420106,0.6666666666666666
237,Esfahan Steel Co,0.0,1,1.0,1.0,0.0,32.418304,51.331314,0.6666666666666666
238,Essar Global Fund Ltd,0.0,1,1.0,1.0,0.0,27.544749,49.208103,0.6666666666666666
239,Esteel Enterprise Sabah Sdn Bhd,0.0,1,1.0,1.0,0.0,6.104211,116.202218,0.6666666666666666
240,Eurasian Resources Group SARL; China Baowu Steel Group Co Ltd,0.0,1,1.0,1.0,0.0,52.9775332,63.1825737,0.6666666666666666
